from,to,weigh,year
US8086008B2 ,US20150005785,1,2016
US6167145A,US8086008B2 ,1,2003
US3821469A,US6167145A,1,1996
US3868565A,US6167145A,1,1996
US3656161A ,US3868565A,1,1973
US3644825A,US3868565A,1,1973
US3731752A,US3868565A,1,1973
US4071456A,US6167145A,1,1996
US3787441A,US4071456A,1,1973
US3755429A ,US4071456A,1,1973
US3910258A,US6167145A,1,1996
US3587563A,US3910258A,1,1974
US3706308A,US3910258A,1,1974
US3721230A,US3910258A,1,1974
US3572324A,US3721230A,1,1970
US3572321A,US3721230A,1,1970
US3699947A,US3910258A,1,1974
US3760796A,US3910258A,1,1974
US4058114A,US6167145A,1,1996
US3721227A,US4058114A,1,1974
US3971133A,US6167145A,1,1996
US3963028A,US6167145A,1,1996
US3983474A,US6167145A,1,1996
US3656161A ,US3983474A,1,1975
US3644825A,US3983474A,1,1975
US3731752A,US3983474A,1,1975
US4068156A,US6167145A,1,1996
US4262306A,US6167145A,1,1996
US3567853A,US4262306A,1,1977
US3673317A,US4262306A,1,1977
US4058114A,US4262306A,1,1977
US4182312A,US6167145A,1,1996
US3664731A,US4182312A,1,1977
US3777740A,US4182312A,1,1977
US3812858A,US4182312A,1,1977
US3675655A,US3812858A,1,1972
US3731188A,US3812858A,1,1972
US3582957A,US3731188A,1,1971
US3943914A,US4182312A,1,1977
US3660901A,US3943914A,1,1973
US3916529A,US4182312A,1,1977
US3660901A,US3916529A,1,1973
US3753434A,US3916529A,1,1973
US3660901A,US3753434A,1,1971
US3727604A,US3916529A,1,1973
US3943913A,US4182312A,1,1977
US3577855A,US3943913A,1,1974
US3768459A,US3943913A,1,1974
US3752144A,US3943913A,1,1974
US4112587A,US4182312A,1,1977
US4024647A,US4112587A,1,1976
US3939326A,US4024647A,1,1976
US3649808A,US3939326A,1,1975
US3781516A,US3939326A,1,1975
US3558853A,US3781516A,1,1973
US3781517A,US3939326A,1,1975
US3642364A,US3781517A,1,1973
US3697722A,US3781517A,1,1973
US4117337A,US6167145A,1,1996
US3708663A,US4117337A,1,1977
US4209254A,US6167145A,1,1996
US3951550A,US4209254A,1,1978
US3649122A,US3951550A,1,1974
US3709609A,US3951550A,1,1974
US3739176A,US3951550A,1,1974
US3723013A,US3951550A,1,1974
US3719424A,US3951550A,1,1974
US4039825A,US4209254A,1,1978
US3816000A,US4039825A,1,1974
US3628385A,US3816000A,1,1972
US3907435A,US4039825A,1,1974
US3603691A,US3907435A,1,1972
US3631601A,US3907435A,1,1972
GB1359581A,US4039825A,1,1974
US3894230A,US4039825A,1,1974
US3649122A,US3894230A,1,1973
US3709609A,US3894230A,1,1973
US3640628A,US3894230A,1,1973
US3775741A,US3894230A,1,1973
US3674226A,US3775741A,1,1970
US3696248A,US3775741A,1,1970
US3690599A,US3775741A,1,1970
US3742233A,US3894230A,1,1973
US3590261A,US3742233A,1,1971
US3651509A,US3742233A,1,1971
US3559307A,US3651509A,1,1970
US3989384A,US4209254A,1,1978
US3684383A,US3989384A,1,1975
US3796497A,US3989384A,1,1975
US3612698A,US3796497A,1,1971
US3683195A,US3796497A,1,1971
US3813171A,US3989384A,1,1975
US3573849A,US3813171A,1,1973
US3865483A,US3989384A,1,1975
US3632215A,US3865483A,1,1974
US3712740A,US3865483A,1,1974
US3612698A,US3865483A,1,1974
US3756723A,US3865483A,1,1974
US3698808A,US3865483A,1,1974
US3645626A,US3865483A,1,1974
US3796497A,US3865483A,1,1974
US4004852A,US4209254A,1,1978
US3684374A,US4004852A,1,1975
US3898676A,US4004852A,1,1975
US3713371A,US3898676A,1,1972
US3838275A,US4004852A,1,1975
US3634689A,US3838275A,1,1973
US3764213A,US3838275A,1,1973
US3691483A,US3764213A,1,1972
US3846628A,US4004852A,1,1975
US3610934,US3846628A,1,1973
US3708619A,US3846628A,1,1973
US3792260A,US3846628A,1,1973
US3945023A,US4004852A,1,1975
US3736057A,US3945023A,1,1974
US3838275A,US3945023A,1,1974
US3836772A,US3945023A,1,1974
US3634689A,US3836772A,1,1973
US3764213A,US3836772A,1,1973
US3907434A,US4004852A,1,1975
US3654477A,US3907434A,1,1974
US4092072A,US4209254A,1,1978
US3717413A,US4092072A,1,1975
US3614239A,US3717413A,1,1969
GB1410322A,US4092072A,1,1975
US3827807A,US4092072A,1,1975
US3951550A,US4092072A,1,1975
US3989384A,US4092072A,1,1975
US4111555A,US4209254A,1,1978
US3917412A,US4111555A,1,1976
US3664748A,US3917412A,1,1972
US3678283A,US3917412A,1,1972
US3827807A,US4111555A,1,1976
US3951550A,US4111555A,1,1976
US4025192A,US4111555A,1,1976
US3653769A,US4025192A,1,1975
US3832056A,US4025192A,1,1975
US3619058A,US3832056A,1,1972
US3690767,US3832056A,1,1972
US3740141A,US3832056A,1,1972
US3809477A,US4025192A,1,1975
US3733134A,US4025192A,1,1975
US3659948A,US3733134A,1,1970
US3898445A,US4025192A,1,1975
US3637309A,US3898445A,1,1972
US3633010A,US3898445A,1,1972
US3791735A,US3898445A,1,1972
US4136568A,US4209254A,1,1978
US3706493A,US4136568A,1,1977
US3858201A,US4136568A,1,1977
US3662180A,US3858201A,1,1973
US3706493A,US3858201A,1,1973
US3951550A,US4136568A,1,1977
FR2417970B1,US6167145A,1,1996
US4259725A,US6167145A,1,1996
US3593310A,US4259725A,1,1979
US3729129A,US4259725A,1,1979
US3883861A,US4259725A,1,1979
US4129859A,US4259725A,1,1979
US4116444A,US4259725A,1,1979
US3685038A,US4116444A,1,1976
US3747087A,US4116444A,1,1976
US3750135A,US4116444A,1,1976
US3659283A,US3750135A,1,1971
US3668687A,US3750135A,1,1971
US3624632A,US3750135A,1,1971
US3893075A,US4116444A,1,1976
US3686662A,US3893075A,1,1972
US3792464A,US3893075A,1,1972
US3686662A,US3792464A,1,1973
US4026555A,US4116444A,1,1976
US3659285A,US4026555A,1,1975
US3750133A,US4026555A,1,1975
US3836902A,US4026555A,1,1975
US3821468A,US4026555A,1,1975
US3793483A,US4026555A,1,1975
US3659284A,US3793483A,1,1972
US3659285A,US3793483A,1,1972
US3874669A,US4026555A,1,1975
US3659285A,US3874669A,1,1973
US3603962A,US3874669A,1,1973
US3936664A,US4026555A,1,1975
US3668687A,US3936664A,1,1973
US4034983A,US4116444A,1,1976
US3778058A,US4034983A,1,1975
US3583538A,US3778058A,1,1969
US3659285A,US4034983A,1,1975
US3793483A,US4034983A,1,1975
US3874669A,US4034983A,1,1975
US3921161A,US4034983A,1,1975
US4053740A,US4116444A,1,1976
US3659284A,US4053740A,1,1975
US3778058A,US4053740A,1,1975
US3659285A,US4053740A,1,1975
US3874669A,US4053740A,1,1975
US3921161A,US4053740A,1,1975
US4121283A,US4259725A,1,1979
US3549939A,US4121283A,1,1977
US3742289A,US4121283A,1,1977
US3805253A,US4121283A,1,1977
US3652999A,US3805253A,1,1971
US3668686A,US3805253A,1,1971
US3624634A,US3805253A,1,1971
US3603962A,US3805253A,1,1971
US3906480A,US4121283A,1,1977
US3675232A,US3906480A,1,1973
US3581290A,US3906480A,1,1973
US3668687A,US3906480A,1,1973
US3641558A,US3906480A,1,1973
US3555520A,US3641558A,1,1969
US3725723A,US3906480A,1,1973
US3549939A,US3725723A,1,1970
US3594608A,US3725723A,1,1970
US3611348A,US3725723A,1,1970
US3713135A,US3906480A,1,1973
US3973245A,US4121283A,1,1977
US3631455A,US3973245A,1,1974
US3675232A,US3973245A,1,1974
US3668661A,US3973245A,1,1974
US3911403A,US4121283A,1,1977
US3599186A,US3911403A,1,1974
US3685020A,US3911403A,1,1974
US3716838A,US3911403A,1,1974
US3693165A,US3911403A,1,1974
US3976982A,US4121283A,1,1977
US3763365A,US3976982A,1,1975
US3684876A,US3763365A,1,1972
US4020281A,US4121283A,1,1977
US3917955A,US4020281A,1,1976
US3829614A,US3917955A,1,1973
US3651508A,US3917955A,1,1973
US3512037A,US3651508A,1,1970
US3873974A,US4020281A,1,1976
US3714372A,US3873974A,1,1973
US3795792A,US3873974A,1,1973
US4341220A,US6167145A,1,1996
US3714428A,US4341220A,1,1979
NL7506593A,US4341220A,1,1979
US4071769A,US4341220A,1,1979
US4005527A,US4341220A,1,1979
US3915162A,US4005527A,1,1975
US3682507A,US3915162A,1,1974
US4115691A,US4341220A,1,1979
US3714428A,US4115691A,1,1975
US4005527A,US4115691A,1,1975
US4174481A,US4341220A,1,1979
US3974388A,US4174481A,1,1976
US4051379A,US4174481A,1,1976
US3654469A,US4051379A,1,1975
US3703638A,US4051379A,1,1975
US3936646A,US4051379A,1,1975
US3934142A,US4051379A,1,1975
US4047044A,US4174481A,1,1976
US3973130A,US4047044A,1,1976
US3683182A,US3973130A,1,1973
US3710696A,US3973130A,1,1973
US3827070A,US3973130A,1,1973
US4197855A,US4341220A,1,1979
US3822694A,US4197855A,1,1977
US3768459A,US3822694A,1,1972
US4228799A,US4341220A,1,1979
EP0018166A1,US6167145A,1,1996
US3737660A,EP0018166A1,1,1979
US3991310A,EP0018166A1,1,1979
US3673394A,US3991310A,1,1970
GB1458196A,EP0018166A1,1,1979
US3962579A,EP0018166A1,1,1979
US3665184A,US3962579A,1,1974
US3783282A,US3962579A,1,1974
US3671745A,US3783282A,1,1971
US4608977A,US6167145A,1,1996
US4386602A,US4608977A,1,1977
US3677262A,US4386602A,1,1977
DE2115121A1,US4386602A,1,1977
US3747603A,US4386602A,1,1977
US3648683A,US3747603A,1,1971
US3589355A,US3648683A,1,1969
US3994557A,US4386602A,1,1977
US4230117A,US4608977A,1,1977
DE2115121A1,US4230117A,1,1978
US4341220A,US4608977A,1,1977
US4419012A,US6167145A,1,1996
US4092072A,US4419012A,1,1979
US4111555A,US4419012A,1,1979
US4168123A,US4419012A,1,1979
US3633212A,US4168123A,1,1970
US3709608A,US4168123A,1,1970
US4171155A,US4419012A,1,1979
US3596101A,US4171155A,1,1977
US4083056A,US4171155A,1,1977
US3762294A,US4083056A,1,1975
US3571598A,US3762294A,1,1970
US3733989A,US4083056A,1,1975
US3827064A,US4083056A,1,1975
US3618499A,US3827064A,1,1972
US3678835A,US3827064A,1,1972
US3691922A,US3827064A,1,1972
US3860935A,US4083056A,1,1975
US3610934A,US3860935A,1,1973
US3596101A,US3860935A,1,1973
US3571598A,US3860935A,1,1973
US3708619A,US3860935A,1,1973
US3691922A,US3860935A,1,1973
US3938894A,US4083056A,1,1975
US3714524A,US3938894A,1,1973
US3610934A,US3714524A,1,1970
US3833806A,US3938894A,1,1973
US4047187A,US4083056A,1,1975
US3713371A,US4047187A,1,1974
US3717077A,US4047187A,1,1974
US3786263A,US4047187A,1,1974
US3824608A,US4047187A,1,1974
US3742826A,US3824608A,1,1970
US3609456A,US3742826A,1,1970
US3677151A,US3824608A,1,1970
US3703130A,US3824608A,1,1970
US3748979A,US3824608A,1,1970
US3856989A,US4047187A,1,1974
US3751586A,US3856989A,1,1972
US3898676A,US4047187A,1,1974
US3872483A,US4047187A,1,1974
US3727527A,US3872483A,1,1973
US3626410A,US3727527A,1,1971
US3818495A,US3872483A,1,1973
US3584962A,US3818495A,1,1972
US3727527A,US3818495A,1,1972
US4298258A,US4419012A,1,1979
US3999192A,US4298258A,1,1978
US3610934A,US3999192A,1,1970
US4398540A,US6167145A,1,1996
US4135139A,US4398540A,1,1979
US3790925A,US4135139A,1,1976
US3569966A,US3790925A,1,1969
US4010466A,US4135139A,1,1976
US3830971A,US4010466A,1,1975
US3621150A,US3830971A,1,1971
US3715509A,US3830971A,1,1971
US3621150A,US3715509A,1,1971
US3531720A,US3715509A,1,1971
US3792194A,US4010466A,1,1975
US3663749A,US3792194A,1,1972
US3701846A,US3792194A,1,1972
US3668308A,US3792194A,1,1972
US3864660A,US4010466A,1,1975
US3904817A,US4010466A,1,1975
US3810174A,US3904817A,1,1974
US3774201A,US3904817A,1,1974
US3765018A,US3904817A,1,1974
US3683373A,US3765018A,1,1972
US3631483A,US3765018A,1,1972
US3633173A,US3765018A,1,1972
US3792194A,US3904817A,1,1974
US3784737A,US3904817A,1,1974
US3715483A,US3784737A,1,1973
US3729678A,US3784737A,1,1973
US4024490A,US4135139A,1,1976
US3792194A,US4024490A,1,1976
US3914730A,US4024490A,1,1976
US3925606A,US4024490A,1,1976
US3830971A,US3925606A,1,1974
US3792194A,US3925606A,1,1974
US3806644A,US3925606A,1,1974
US3621150A,US3806644A,1,1973
US4058001A,US4398540A,1,1979
US3857052A,US4058001A,1,1976
US3575043A,US3857052A,1,1972
US3646805A,US3857052A,1,1972
US3856985A,US4058001A,1,1976
US3690311A,US3856985A,1,1973
US3792194A,US3856985A,1,1973
US3954098A,US4058001A,1,1976
US3624744A,US3954098A,1,1975
US3777740A,US3954098A,1,1975
US3778756A,US3954098A,1,1975
US3864661A,US3954098A,1,1975
US4240295A,US4398540A,1,1979
