from,to,weigh,year
US3538315,EP0102219A2,1,1983
EP0102219A2,EP0583487A1,1,1992
EP0583487A1,EP0743579A2,1,1996
US20110066282,US20130325030,1,2013
US20110172819,US20130325030,1,2013
US8086008,US20150005785,1,2012
US1712763,US2295000,1,1947
US2141237,US2295000,1,1947
US2198248,US2295000,1,1947
US2307099,US2295000,1,1947
US2408794,US2295000,1,1947
US2444429,US2295000,1,1947
US2492134,US2295000,1,1947
US2539623,US2295000,1,1947
US2266668,US2416188,1,1943
US2275016,US2416188,1,1943
US2305930,US2416188,1,1943
US2215776,US2416329,1,1942
US1485154,US2417148,1,1943
US1893205,US2417148,1,1943
US1894025,US2417148,1,1943
US2018399,US2417148,1,1943
US2254812,US2417148,1,1943
US2352507,US2417148,1,1943
US1698290,US2417522,1,1944
US1999378,US2417522,1,1944
US2182555,US2417522,1,1944
US2272070,US2417522,1,1944
US2048081,US2418116,1,1943
US2092442,US2418116,1,1943
US2105016,US2418116,1,1943
US2158285,US2418521,1,1945
US2310105,US2418521,1,1945
US2332300,US2418521,1,1945
US2373134,US2418521,1,1945
US1744835,US2419772,1,1944
US1930278,US2419772,1,1944
US2113165,US2419772,1,1944
US2300996,US2419772,1,1944
US1455795,US2420590,1,1944
US1492319,US2420590,1,1944
US1938684,US2420590,1,1944
US2049376,US2420590,1,1944
US2150776,US2420590,1,1944
US2266862,US2420590,1,1944
US1077725,US2421560,1,1943
US1669107,US2421560,1,1943
US1971313,US2421560,1,1943
US1975023,US2421560,1,1943
US1983229,US2421560,1,1943
US2113164,US2421560,1,1943
US2114330,US2421560,1,1943
US2191997,US2421560,1,1943
US2203689,US2421560,1,1943
US2302049,US2421560,1,1943
US2316240,US2421560,1,1943
US2335163,US2421560,1,1943
US1992727,US2423208,1,1944
US2319622,US2423208,1,1944
US2386049,US2423208,1,1944
US1703280,US2423337,1,1942
US1896805,US2423337,1,1942
US2115086,US2423337,1,1942
US2115834,US2423337,1,1942
US2126910,US2423337,1,1942
US2158584,US2423337,1,1942
US2196385,US2423337,1,1942
US2204290,US2423337,1,1942
US2253508,US2423337,1,1942
US2256482,US2423337,1,1942
