pid,label,ipc,YEAR,x,ybefore,y,tech,com
EP0102219A2,EP0102219A2,G01B 21,1983,111,14,16,Acceleration/deceleration device,Fanuc Ltd.
EP0583487A1,EP0583487A1,G05B 19,1992,167.8,13,15,braking action,Siemens Aktiengesellschaft
EP0743579A2,EP0743579A2,G05B 19,1996,167.9,12,14,robot,Siemens Aktiengesellschaft
EP1366867A2,EP1366867A2,B25J 9,2003,47.4,8,10,avoiding collision robots and others,KUKA Roboter GmbH
KR100218106B1,KR100218106B1,G05B 13,1997,163,11,13,robot arm,SAMSUNG ELECTRONICS CO LTD
US1027775,US1027775,F04B 9,1911,96.1,70,72,balance system,Company Of Deseniss & Jacobi Actiengesellschaft
US1040378,US1040378,G07C 3,1911,206,70,72,electric signal system,Gisholt Machine Co
US1042692,US1042692,G05D 3,1912,173.2,69,71,motor control,Gen Electric
US1042693,US1042693,G05D 3,1912,173.3,69,71,motor control,Gen Electric
US1044379,US1044379,B23D 51,1910,23.1,71,73,roller machine,George Habig
US1074424,US1074424,G11B 5,1908,222,73,75,magnetic device,"Samuel M Kintner, Halsey M Barrett"
US1077725,US1077725,G05B 19,1912,164,69,71,motor control,Gen Electric
US1111033,US1111033,G08B 25,1914,204,67,69,signal system,Postal Telegraph Cable Company
US1123067,US1123067,G05D 3,1910,173.1,71,73,remote control,Siemens Ag
US1126826,US1126826,G08C 19,1912,208,69,71,electric signal,Siemens Ag
US1126899,US1126899,F04B 9,1914,96.2,67,69,motion converting device,"Christ Specht, Thomas Williams"
US1154252,US1154252,G01C 3,1915,119,66,68,frequency control system,Absalom M Kennedy
US1155124,US1155124,G01V 1,1913,154,68,70,signal machine,Submarine Wireless Company
US1166126,US1166126,B23B 3,1914,13,67,69,machine ,George O Gridley
US1172058,US1172058,B21D 28,1912,11,69,71,automatic system,Emanuel Scheyer
US1217572,US1217572,B23Q 35,1916,33.1,65,67,machine,Clarence C Craley
US1238101,US1238101,C10G 27,1916,86,65,67,plastic,Crew Levick Company
US1271603,US1271603,B65H 35,1914,82,67,69,automatic control,Nat Binding Machine Company
US1274698,US1274698,G01B 3,1913,112,68,70,gaging machine,Westinghouse Electric & Mfg Co
US1295572,US1295572,G05D 23,1918,172.1,63,65,radio system,Charles Engelhard
US1298302,US1298302,G01G 11,1914,128,67,69,measure device,Bemiss N Davis
US1300191,US1300191,G07C 3,1919,206.1,62,64,recording system,George D Pogue
US1320580,US1320580,G05D 23,1917,172,64,66,set up device,American Rubber company
US1322352,US1322352,B23B 7,1914,16,67,69,automatic lathe,L. Schellenbach
US1338761,US1338761,B28C 7,1915,54,66,68,time control system,Koehring Machine Company
US1340573,US1340573,B64D 43,1918,79,63,65,navigation machine,Joseph A Steinmetz
US1343554,US1343554,B23D 5,1919,22.1,62,64,groove machine,William F Fischer
US1346493,US1346493,G09F 13,1915,215,66,68,sign system,"Hammond William P, Quincy Moses Edmund"
US1347695,US1347695,B43L 13,1919,63,62,64,pantograph,George Gillespie
US1350899,US1350899,H02J 3,1918,245,63,65,electrical system,Gen Electric
US1364078,US1364078,H04L 25,1918,328,63,65,telegraphic,Cushing Crehore Albert
US1370540,US1370540,G06M 1,1919,201.1,62,64,counter system,Hussey Charlie F
US1373586,US1373586,B24B 3,1919,42,62,64,grinding machine,Barnes William O
US1381752,US1381752,B23B 7,1919,16.1,62,64,automatic lathe,Scheyer Rmanuel
US1382821,US1382821,B25D 11,1920,45,61,63,power hammer,Chicago Pneumatic Tool Co
US1407078,US1407078,G01G 23,1916,130,65,67,wegith control system,Murray Howard J
US1416594,US1416594,G08B 25,1920,204.1,61,63,tele control,Western Union Telegraph Co
US1418739,US1418739,H03B 5,1917,263,64,66,oscilliator,Western Electric Co
US1431627,US1431627,G08C 19,1919,208.1,62,64,remote control,Bristol Company
US1444242,US1444242,B21D 28,1921,11.1,60,62,spacing control,Faust Albert A
US1444505,US1444505,G06M 1,1921,201.3,60,62,counting system,Shawmut Eng Co
US1453555,US1453555,H01F 7,1920,227,61,63,electric control,Gen Electric
US1455795,US1455795,G05D 3,1920,173.4,61,63,controlling production process,Lloyd Logan
US1459730,US1459730,G06M 1,1919,201.2,62,64,register system,Harris Frank C
