pid,ipc,YEAR,tech,com
US20150005785,A61B19,2016,robot arm collision,"St. Jude Medical, Atrial Fibrillation Division, Inc."
US8086008B2,A61B5,2003,"Device and method for superimposing patterns on images in real-time, particularly for guiding by localisation","Intuitive Surgical Operations, Inc."
US6167145A,G06F19,1996,Bone navigation system,"Surgical Navigation Technologies, Inc."
US3821469A,G06F3,1972,Graphical data device,Amperex Electronic Corp
US3868565A,G01S1,1973,"Object tracking and orientation determination means, system and process",Jack Kuipers
US3656161A,H04B13,1969,Maintaining a circularly polarized magnetic field at a moving point,Bell Telephone Labor Inc
US3644825A,G01V3,1969,Magnetic detection system for detecting movement of an object utilizing signals derived from two orthogonal pickup coils,Texas Instruments Inc
US3731752A,E21B7,1971,Magnetic detection and magnetometer system therefor,Kalium Chemicals Ltd
US4071456A,D06M13,1973,Fabric-softening compositions,Lever Brothers Company
US3787441A,C07C303,1971,Sultone recovery,Continental Oil Co
US3755429A,C11D1,1971,Process for the preparation of sulfonated detergent composition,Procter & Gamble
US3910258A,A61B5,1974,Cerebral activity monitor,Humetrics Corp
US3587563A,A61B5,1969,Heartbeat monitor,Us Army
US3706308A,A61B5,1970,Life detecting medical instrument,Neuro Data Inc
US3721230A,A61B5,1970,High-gain monitor to determine electro-cerebral silence,Overton M Iii
US3572324A,A61B5,1969,Automatic gain control for a cardiac monitor,Gen Electric
US3572321A,A61B5,1969,Electrocardiometer,Frigitronics Of Conn Inc
US3699947A,A61B5,1971,Electroencephalograph monitoring apparatus,Nat Res Dev
US3760796A,A61B5,1971,Method and apparatus for automatic analysis of brain wave signals,Humtrics Corp
US4058114A,A61B8,1974,"Ultrasonic arrangement for puncturing internal body organs, vessels and the like",Siemens Aktiengesellschaft
US3721227A,A61B8,1971,Transducer for pulse-echo ultrasonic exploration,Nulty D Mc
US3971133A,A61C13,1974,Dental restoration,Mushabac David R
US3963028A,A61M1,1975,Suction wand,"Texas Medical Products, Inc."
US3983474A,G01S1,1975,"Tracking and determining orientation of object using coordinate transformation means, system and process","Polhemus Navigation Sciences, Inc."
US4068156A,G05B19,1977,Rate control system for manipulator arms,Martin Marietta Corporation
US4262306A,A61B6,1977,Method and apparatus for monitoring of positions of patients and/or radiation units,Karlheinz Renner
US3567853A,G01S5,1969,Television position indicating apparatus,Bethlehem Steel Corp
US3673317A,H04N9,1970,Comparitive display of images in color,Westinghouse Electric Corp
US4182312A,G05B19,1977,Dental probe,Mushabac David R
