syear,ipc,fillcolor
2006,A01D 34,salmon
2006,A22B 5,indianred
2006,A61B 17,red
2006,A61B 19,red
2016,A61B 34,red
2016,A61B 90,red
2006,A61F 15,red
2013,A61M 25,red
2006,A61N 1,red
2006,A63J 17,orangered
2006,B05B 13,sienna
2006,B06B 1,chocolate
2006,B07B 1,saddlebrown
2006,B07C 5,saddlebrown
2006,B21C 1,peru
2006,B21C 37,peru
2006,B21D 28,peru
2006,B21D 37,peru
2006,B23B 3,darkorange
2006,B23B 39,darkorange
2006,B23B 47,darkorange
2006,B23B 5,darkorange
2006,B23B 7,darkorange
2006,B23C 1,darkorange
2006,B23C 1,darkorange
2006,B23C 3,darkorange
2006,B23C 9,darkorange
2006,B23D 27,darkorange
2006,B23D 29,darkorange
2006,B23D 49,darkorange
2006,B23D 5,darkorange
2006,B23D 51,darkorange
2006,B23D 57,darkorange
2006,B23D 59,darkorange
2006,B23D 67,darkorange
2006,B23G 1,darkorange
2006,B23K 11,darkorange
2006,B23K 7,darkorange
2006,B23K 9,darkorange
2006,B23Q 11,darkorange
2006,B23Q 15,darkorange
2006,B23Q 16,darkorange
2006,B23Q 17,darkorange
2006,B23Q 35,darkorange
2006,B23Q 37,darkorange
2006,B23Q 5,darkorange
2006,B24B 17,burlywood
2006,B24B 19,burlywood
2006,B24B 23,burlywood
2006,B24B 3,burlywood
2006,B24B 47,burlywood
2006,B24B 49,burlywood
2006,B25D 11,wheat
2006,B25J 17,wheat
2006,B25J 19,wheat
2013,B25J 9,wheat
2006,B26D 1,goldenrod
2006,B26D 3,goldenrod
2006,B26D 5,goldenrod
2006,B26F 1,goldenrod
2006,B27B 11,gold
2006,B27B 33,gold
2006,B28C 7,khaki
2006,B29D 19,darkkhaki
2006,B30B 1,olive
2006,B30B 15,olive
2006,B41B 19,darkolivegreen
2006,B41B 21,darkolivegreen
2006,B41B 27,darkolivegreen
2006,B41C 1,darkolivegreen
2006,B41F 13,darkolivegreen
2006,B41J 13,darkolivegreen
2006,B41J 2,darkolivegreen
2006,B41J 5,darkolivegreen
2006,B43L 13,greenyellow
2006,B44B 1,darkseagreen
2006,B44B 3,darkseagreen
2006,B60L 15,forestgreen
2006,B60M 3,forestgreen
2006,B60R 16,forestgreen
2006,B61G 9,limegreen
2006,B61L 1,limegreen
2006,B61L 3,limegreen
2006,B61L 5,limegreen
2006,B61L 7,limegreen
2006,B63B 29,palegreen
2006,B63H 20,palegreen
2006,B64C 11,green
2006,B64C 13,green
2006,B64C 17,green
2006,B64C 25,green
2006,B64D 43,green
2006,B65C 11,lime
2006,B65G 17,lime
2006,B65H 20,lime
2006,B65H 23,lime
2006,B65H 35,lime
2006,B65H 63,lime
2006,B66B 1,seagreen
2006,B66F 3,seagreen
2006,C03B 27,mediumspringgreen
2006,C10G 27,aquamarine
2006,C10M,aquamarine
2006,C10M 129,aquamarine
2006,C10M 159,aquamarine
2006,C10M 171,aquamarine
2006,D06F 37,lightseagreen
2006,D06P 1,lightseagreen
