ipc,Fcategory,Mcategory,Lcategory
A01G7,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING",Botany in general
A01K29,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING,"ANIMAL HUSBANDRY; CARE OF BIRDS, FISHES, INSECTS; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS",Other apparatus for animal husbandry
A22B5,BUTCHERING; MEAT TREATMENT; PROCESSING POULTRY OR FISH,SLAUGHTERING,Accessories for use during or after slaughtering
A45D26,HAND OR TRAVELLING ARTICLES,HAIRDRESSING OR SHAVING EQUIPMENT; MANICURING OR OTHER COSMETIC TREATMENT,"Hair-singeing apparatus; Apparatus for removing superfluous hair, e.g. tweezers"
A61B1,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Diagnosis; Psycho-physical tests
A61B10,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,"Other methods or instruments for diagnosis, e.g. instruments for taking a cell sample, for biopsy, for vaccination diagnosis; Sex determination; Ovulation-period determination; Throat striking implements"
A61B14,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Echo-tomography
A61B18,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,"Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body"
A61B19,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Surgical robots
A61B2017,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,"Surgical instruments, devices or methods, e.g. tourniquets"
A61B2018,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,"Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body"
A61B2019,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Surgical robots operating autonomously
A61B2218,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Diagnosis; Psycho-physical tests
A61B2503,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Evaluating a particular growth phase or type of persons or animals
A61B2560,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Constructional details of operational features of apparatus; Accessories for medical measuring apparatus
A61B2562,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Details of sensors; Constructional details of sensor housings or probes; Accessories for sensors
A61B3,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Apparatus for testing the eyes; Instruments for examining the eyes
A61B34,MEDICAL OR VETERINARY SCIENCE; HYGIENE,DIAGNOSIS; SURGERY; IDENTIFICATION,Computer-aided surgery; Manipulators or robots specially adapted for use in surgery
